Entity,Code,Day,Unvaccinated,"Fully vaccinated, no booster",Fully vaccinated + booster
70-79,,2021-09-11,4.539316152021698,0.15771875591445333,
70-79,,2021-09-18,4.784975177941265,0.47122540596068724,
70-79,,2021-09-25,1.2483926944059522,0.3127091242268267,
70-79,,2021-10-02,10.308879811347499,0.15558995822409621,
70-79,,2021-10-09,5.281573909024889,0.1546627732891204,0
70-79,,2021-10-16,6.75401864109145,0.1536360270337953,0
70-79,,2021-10-23,2.750842445498934,0.4582902413203647,0
70-79,,2021-10-30,4.185034317281402,0.6084871791751347,0
70-79,,2021-11-06,1.4118311449950587,0.6078362246076418,0
70-79,,2021-11-13,10.092999783721433,0.4687968796879688,0
70-79,,2021-11-20,4.388723905379113,1.0680242441503423,0.9950941856646731
70-79,,2021-11-27,13.354502693158043,1.9205654144580164,0.5134946391159676
70-79,,2021-12-04,25.586610677142126,1.5940446491906237,1.389076993065033
70-79,,2021-12-11,24.491420349308882,3.4015456623489713,1.6148392965760023
70-79,,2021-12-18,29.63841138114997,4.001814155750607,0.6790187726056667
70-79,,2021-12-25,29.93445928913537,4.140915349337972,0.42176474805882774
70-79,,2022-01-01,15.849870031065745,3.9812992685784487,0.4064148520243524
70-79,,2022-01-08,25.58935482839139,3.9112918997144757,0.19391231672862166
80+,,2021-01-30,9.625275974709588,0,
80+,,2021-02-06,12.38543472875898,0,
80+,,2021-02-13,12.256801623665721,2.3816328474802324,
80+,,2021-02-20,8.133104057257052,0,
80+,,2021-02-27,4.525017174497004,1.8093489057962493,
80+,,2021-03-06,6.8206620589305205,0,
80+,,2021-03-13,9.231147944531058,1.800190820226944,
80+,,2021-03-20,5.047474299943356,0.5227254907085545,
80+,,2021-03-27,10.257462303826033,0.4707322239743922,
80+,,2021-04-03,17.46241941821039,0.4296381587427069,
80+,,2021-04-10,11.487085234172438,0.7781253404298364,
80+,,2021-04-17,11.353959693443088,1.0870352924124937,
80+,,2021-04-24,17.089452603471294,1.3440047308966527,
80+,,2021-05-01,21.643720315036372,0.9517736301598028,
80+,,2021-05-08,16.066192713981604,0.6019255598660114,
80+,,2021-05-15,8.551028261148403,0.5770323801720133,
80+,,2021-05-22,21.513968712542646,0.5544036280173418,
80+,,2021-05-29,6.476264490641798,0,
80+,,2021-06-05,10.222858311183806,0.7898769371731884,
80+,,2021-06-12,3.5696437495537947,0.259544084860534,
80+,,2021-06-19,1.8566999015949053,0,
80+,,2021-06-26,1.9214880003074382,0,
80+,,2021-07-03,1.9784350578692254,0,
80+,,2021-07-10,2.0297150280100675,0,
80+,,2021-07-17,0,0.24972218407022187,
80+,,2021-07-24,0,0,
80+,,2021-07-31,8.7284788443494,0.24783147459727387,
80+,,2021-08-07,2.217688281735119,0,
80+,,2021-08-14,9.041386948757939,0.985879737460226,
80+,,2021-08-21,16.22473576858891,0.9829869533056622,
80+,,2021-08-28,35.904064340083295,0.7352544715726113,
80+,,2021-09-04,27.335304788648394,2.4458130127035527,
80+,,2021-09-11,26.210258695253323,3.1726120603186767,
80+,,2021-09-18,30.937113286083925,2.432995309185044,
80+,,2021-09-25,27.11333373501235,2.6671257355811546,
80+,,2021-10-02,28.592305492899577,0.4830941212276388,
80+,,2021-10-09,26.470782873403483,2.163784025503801,
80+,,2021-10-16,24.039287063429377,2.6296035992101627,
80+,,2021-10-23,28.316579357213648,2.377425865917936,
80+,,2021-10-30,32.62406205821583,3.550774897441785,0
80+,,2021-11-06,44.43127962085308,3.075605480255796,0
80+,,2021-11-13,84.61538461538461,3.9231744365953714,11.70069619142339
80+,,2021-11-20,111.38515395019492,6.0529896003873915,0
80+,,2021-11-27,115.36876802637,11.778394854626054,2.045966036963786
80+,,2021-12-04,157.84982935153585,19.29623861177346,7.623876073894419
80+,,2021-12-11,248.1719477066253,27.424756969972808,5.448403617740002
80+,,2021-12-18,235.1313969571231,22.139731223662945,3.4048580514678344
80+,,2021-12-25,207.85110302801266,13.350132249747599,4.840645935793672
80+,,2022-01-01,201.02426650074187,17.904782367370323,3.7683471401385495
80+,,2022-01-08,151.78964892523135,8.881345227757164,0.9099650270107952
All ages,,2021-01-30,0.7470422071114604,0,
All ages,,2021-02-06,0.9222894792966145,0,
All ages,,2021-02-13,0.9483542736917862,0.12956058817928423,
All ages,,2021-02-20,0.6357279471175661,0,
All ages,,2021-02-27,0.36366028315014476,0.21441747862477945,
All ages,,2021-03-06,0.5188042422794052,0,
All ages,,2021-03-13,0.798022125501612,0.097930200177711,
All ages,,2021-03-20,0.47315402990303534,0.028436214299008323,
All ages,,2021-03-27,0.787317301803931,0.08411155796653495,
