Mesorregiao,Municipios
Sudeste Mato-grossense,Araguainha
Sudeste Mato-grossense,General Carneiro
Sudeste Mato-grossense,Guiratinga
Sudeste Mato-grossense,Pontal do Araguaia
Sudeste Mato-grossense,Ponte Branca
Sudeste Mato-grossense,Poxoréu
Sudeste Mato-grossense,Ribeirãozinho
Sudeste Mato-grossense,Tesouro
Sudeste Mato-grossense,Torixoréu
Sudeste Mato-grossense,Dom Aquino
Sudeste Mato-grossense,Itiquira
Sudeste Mato-grossense,Jaciara
Sudeste Mato-grossense,Juscimeira
Sudeste Mato-grossense,Pedra Preta
Sudeste Mato-grossense,Rondonópolis
Sudeste Mato-grossense,São José do Povo
Sudeste Mato-grossense,São Pedro da Cipa
Sudeste Mato-grossense,Alto Araguaia
Sudeste Mato-grossense,Alto Garças
Sudeste Mato-grossense,Alto Taquari
Sertão Alagoano,Água Branca
Sertão Alagoano,Canapi
Sertão Alagoano,Inhapi
Sertão Alagoano,Mata Grande
Sertão Alagoano,Pariconha
Sertão Alagoano,Delmiro Gouveia
Sertão Alagoano,Olho d'Água do Casado
Sertão Alagoano,Piranhas
Sertão Alagoano,Carneiros
Sertão Alagoano,Dois Riachos
Sertão Alagoano,Maravilha
Sertão Alagoano,Ouro Branco
Sertão Alagoano,Palestina
Sertão Alagoano,Pão de Açúcar
Sertão Alagoano,Poço das Trincheiras
Sertão Alagoano,Santana do Ipanema
Sertão Alagoano,São José da Tapera
Sertão Alagoano,Senador Rui Palmeira
Sertão Alagoano,Batalha
Sertão Alagoano,Belo Monte
Sertão Alagoano,Jacaré dos Homens
Sertão Alagoano,Jaramataia
Sertão Alagoano,Major Isidoro
Sertão Alagoano,Monteirópolis
Sertão Alagoano,Olho d'Água das Flores
Sertão Alagoano,Olivença
Agreste Alagoano,Belém
Agreste Alagoano,Cacimbinhas
Agreste Alagoano,Estrela de Alagoas
Agreste Alagoano,Igaci
Agreste Alagoano,Maribondo
Agreste Alagoano,Mar Vermelho
Agreste Alagoano,Minador do Negrão
Agreste Alagoano,Palmeira dos Índios
Agreste Alagoano,Paulo Jacinto
Agreste Alagoano,Quebrangulo
Agreste Alagoano,Tanque d'Arca
Agreste Alagoano,Arapiraca
Agreste Alagoano,Campo Grande
Agreste Alagoano,Coité do Nóia
Agreste Alagoano,Craíbas
Agreste Alagoano,Feira Grande
Agreste Alagoano,Girau do Ponciano
Agreste Alagoano,Lagoa da Canoa
Agreste Alagoano,Limoeiro de Anadia
Agreste Alagoano,São Sebastião
Agreste Alagoano,Taquarana
Agreste Alagoano,Olho d'Água Grande
Agreste Alagoano,São Brás
Agreste Alagoano,Traipu
Leste Alagoano,Chã Preta
Leste Alagoano,Ibateguara
Leste Alagoano,Pindoba
Leste Alagoano,Santana do Mundaú
Leste Alagoano,São José da Laje
Leste Alagoano,União dos Palmares
Leste Alagoano,Viçosa
Leste Alagoano,Atalaia
Leste Alagoano,Branquinha
Leste Alagoano,Cajueiro
Leste Alagoano,Campestre
Leste Alagoano,Capela
Leste Alagoano,Colônia Leopoldina
Leste Alagoano,Flexeiras
Leste Alagoano,Jacuípe
Leste Alagoano,Joaquim Gomes
Leste Alagoano,Jundiá
Leste Alagoano,Matriz de Camaragibe
Leste Alagoano,Messias
Leste Alagoano,Murici
Leste Alagoano,Novo Lino
Leste Alagoano,Porto Calvo
Leste Alagoano,São Luís do Quitunde
Leste Alagoano,Japaratinga
Leste Alagoano,Maragogi
Leste Alagoano,Passo de Camaragibe
Leste Alagoano,Porto de Pedras
Leste Alagoano,São Miguel dos Milagres
Leste Alagoano,Barra de Santo Antônio
Leste Alagoano,Barra de São Miguel
Leste Alagoano,Coqueiro Seco
Leste Alagoano,Maceió
Leste Alagoano,Marechal Deodoro
Leste Alagoano,Paripueira
Leste Alagoano,Pilar
Leste Alagoano,Rio Largo
Leste Alagoano,Santa Luzia do Norte
Leste Alagoano,Satuba
Leste Alagoano,Anadia
Leste Alagoano,Boca da Mata
Leste Alagoano,Campo Alegre
Leste Alagoano,Coruripe
Leste Alagoano,Jequiá da Praia
Leste Alagoano,Junqueiro
Leste Alagoano,Roteiro
Leste Alagoano,São Miguel dos Campos
Leste Alagoano,Teotônio Vilela
Leste Alagoano,Feliz Deserto
Leste Alagoano,Igreja Nova
Leste Alagoano,Penedo
Leste Alagoano,Piaçabuçu
Leste Alagoano,Porto Real do Colégio
Extremo Oeste Baiano,Baianópolis
Extremo Oeste Baiano,Barreiras
Extremo Oeste Baiano,Catolândia
Extremo Oeste Baiano,Formosa do Rio Preto
Extremo Oeste Baiano,Luís Eduardo Magalhães
Extremo Oeste Baiano,Riachão das Neves
Extremo Oeste Baiano,São Desidério
Extremo Oeste Baiano,Angical
Extremo Oeste Baiano,Brejolândia
Extremo Oeste Baiano,Cotegipe
Extremo Oeste Baiano,Cristópolis
Extremo Oeste Baiano,Mansidão
Extremo Oeste Baiano,Santa Rita de Cássia
Extremo Oeste Baiano,Tabocas do Brejo Velho
Extremo Oeste Baiano,Wanderley
Extremo Oeste Baiano,Canápolis
Extremo Oeste Baiano,Cocos
Extremo Oeste Baiano,Coribe
Extremo Oeste Baiano,Correntina
Extremo Oeste Baiano,Jaborandi
Extremo Oeste Baiano,Santa Maria da Vitória
Extremo Oeste Baiano,Santana
Extremo Oeste Baiano,São Félix do Coribe
Extremo Oeste Baiano,Serra Dourada
Vale São-Franciscano da Bahia,Campo Alegre de Lourdes
Vale São-Franciscano da Bahia,Casa Nova
Vale São-Franciscano da Bahia,Curaçá
Vale São-Franciscano da Bahia,Juazeiro
Vale São-Franciscano da Bahia,Pilão Arcado
Vale São-Franciscano da Bahia,Remanso
Vale São-Franciscano da Bahia,Sento Sé
Vale São-Franciscano da Bahia,Sobradinho
Vale São-Franciscano da Bahia,Abaré
