Município [-],Código [-],Gentílico [-],Prefeito [2021],Área Territorial - km² [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km² [2010],Escolarização <span>6 a 14 anos</span> - % [2010],IDHM <span>Índice de desenvolvimento humano municipal</span> [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (×1000) [2017],Despesas empenhadas - R$ (×1000) [2017],PIB per capita - R$ [2018]
Rio Formoso,2611903,rio-formosense,ISABEL CRISTINA ARAUJO HACKER,"227,458",23719,"97,39","89,5","0,613","12,23","60428,06973","53244,00166","11369,56"
Sairé,2612000,saireense,GILDO PONTES DE ARRUDA,"190,455",9600,"59,36","97,7","0,585",-,"27782,41166","28166,09398","12411,83"
Salgadinho,2612109,salgadinense,JOSE SOARES DA FONSECA,"87,217",11214,"106,77","87,6","0,534","14,93","25270,5575","23794,1108","6268,19"
Salgueiro,2612208,salgueirense,MARCONES LIBÓRIO DE SÁ,"1678,564",61561,"33,57","96,7","0,669","11,52","123973,69438","112548,31356","14172,63"
Saloá,2612307,saloaense,RIVALDO ALVES DE SOUZA JUNIOR,"251,549",15880,"60,73","97,4","0,559","10,58","41419,13746","44581,87821","8036,97"
Sanharó,2612406,sanharoense,CESAR AUGUSTO DE FREITAS,"268,686",27308,"81,71","93,2","0,603","28,07","45919,49208","43659,19379","7652,79"
Santa Cruz,2612455,santacruzense,ELIANE MARIA DA SILVA SOARES,"1245,983",15713,"10,82","97,5","0,549",20,"38314,62005","34281,28358","7137,75"
Santa Cruz da Baixa Verde,2612471,santacruzense,JOSE IRLANDO DE SOUZA LIMA,"114,932",12708,"102,39","97,8","0,612","14,71","33046,6343","31848,76407","7231,3"
Santa Cruz do Capibaribe,2612505,santa-cruzense,FÁBIO QUEIROZ ARAGÃO,"335,309",111812,"261,2","95,7","0,648","6,64","171093,0329","157045,0838","14271,52"
Santa Filomena,2612554,filomense,PEDRO GILDEVAN COELHO MELO,"1005,341",14645,"13,3",97,"0,533","15,23","38229,65699","31283,89338","6809,16"
Santa Maria da Boa Vista,2612604,Boavistano,GEORGE RODRIGUES DUARTE,"3000,774",42266,"13,14","97,4","0,59","15,49","111225,08365","87340,57363","15806,8"
Santa Maria do Cambucá,2612703,santa-mariense,NELSON SEBASTIAO DE LIMA,"92,148",14308,"141,31","96,4","0,548","13,95","30854,90134","30389,53873","7300,42"
Santa Terezinha,2612802,santa-terezinhense,ADEILSON LUSTOSA DA SILVA,"200,327",11914,"56,2","97,8","0,593","14,29","29395,25562","29130,4728","7302,39"
São Benedito do Sul,2612901,são-beneditense,CLAUDIO JOSE GOMES DE AMORIM JUNIOR,"160,477",16239,"86,87","83,7","0,53","6,94","32839,95674","28713,69656","6147,44"
São Bento do Una,2613008,são-bentense,PEDRO ALEXANDRE MEDEIROS DE SOUZA,"719,148",60567,"74,03",93,"0,593","22,79","117545,24283","93583,40378","18409,77"
São Caitano,2613107,são-caitanense,JOSAFA ALMEIDA LIMA,"382,483",37488,"92,23","97,2","0,591","18,52","65800,72051","56621,96159","9628,38"
São João,2613206,são-joanense,JOSE WILSON FERREIRA DE LIMA,"258,334",23002,"82,5","96,3","0,57","8,47","55297,47295","50985,04308","9912,62"
São Joaquim do Monte,2613305,são-joaquinense,EDUARDO JOSÉ DE OLIVEIRA LINS,"232,07",21439,"88,39","94,2","0,537",-,"50888,58426","49066,54777","7524,49"
São José da Coroa Grande,2613404,são-josé-coroa-grandense,JAZIEL GONSALVES LAGES,"69,184",21868,"262,19","95,8","0,608","3,31","50301,54464","47248,60275","11039,76"
São José do Belmonte,2613503,belmontense,FRANCISCO ROMONILSON MARIANO DE MOURA,"1474,086",34082,"22,13","96,2","0,61","25,34","64494,89618","62959,79589","8008,13"
São José do Egito,2613602,egipsiense,EVANDRO PERAZZO VALADARES,"780,852",34210,"39,84","98,9","0,635","4,81","73405,26229","72014,14856","11370,75"
São Lourenço da Mata,2613701,são-lourensense,VINÍCIUS LABANCA,"264,19",114910,"392,57","97,1","0,653","9,55","163986,12606","135811,65749","10511,85"
São Vicente Férrer,2613800,são-vicentino,MARCONE VICENTE DOS SANTOS,"113,985",18150,"149,14","95,2","0,549","15,33","45895,15197","44805,03463","11866,54"
Serra Talhada,2613909,serra-talhadense,MÁRCIA CONRADO DE LORENA E SÁ,"2980,007",87467,"26,59","96,7","0,661","13,11","193463,69766","185581,59534","16007,65"
Serrita,2614006,serritense,SEBASTIAO BENEDITO DOS SANTOS,"1535,19",19226,"11,92","98,1","0,595",-,"49139,0361","48298,98624",7038
Sertânia,2614105,sertaniense,ÂNGELO RAFAEL FERREIRA DOS SANTOS,"2421,527",36189,"13,95","94,6","0,613","18,96","76416,70195","67487,93013","13764,78"
